,joined,kind,link,location,market,name,pitch,raised,size,stage,website,query,type_,tech
0,Jul 10,Startup,https://angel.co/vufind-1,Berkeley,Enterprise Resource Planning,Vufind (DBA DeepVu),"
Deep learning as a service for maximizing margins for brands
","$680,000",11-50,Seed,deepvu.co,artificial intelligence,Startup,Python
1,Dec 10,Startup,https://angel.co/nmodes,Toronto,Customer Service,nmodes,"
nmodes creates Artificial Intelligence solutions for the business sales process.
","$100,000",1-10,Seed,nmodes.com,artificial intelligence,Startup,Python
2,Jan 12,Startup,https://angel.co/tagasauris,Santa Monica,Data Mining,Tagasauris,"
Video Search and Discovery Platform 
","$1,000,000",1-10,Seed,tagasauris.com,artificial intelligence,Startup,Python
3,Apr 12,Startup,https://angel.co/zoemob,San Francisco,Location Based Services,ZoeMob,"
Global Family Assistant
","$800,000",1-10,Seed,zoemob.com,artificial intelligence,Startup,Python
4,Nov 12,Startup,https://angel.co/encorealert,San Francisco,Machine Learning,Encore,"
The first automated data scientist for marketers and PR
","$987,000",1-10,Seed,encorehq.com,artificial intelligence,Startup,Python
5,Apr 13,Startup,https://angel.co/healthy-stove,Silicon Valley,Internet of Things,Healthy Stove,"
Smart Technology for Eating Smarter
","$88,000",1-10,Seed,healthystove.com,artificial intelligence,Startup,Python
6,Nov 13,Startup,https://angel.co/quinto,Pune,Location Based Services,Quinto,"
Food Discovery & Recommendation
",-,1-10,Seed,quintoapp.com,artificial intelligence,Startup,Python
7,Oct 13,Startup,https://angel.co/apartmentocean,New York City,Messaging,Apartment Ocean,"
AI platform for customer service in real estate
","$370,000",11-50,Seed,apartmentocean.com,artificial intelligence,Startup,Python
8,Jan 14,Startup,https://angel.co/redcarpetup-com-1,-,Consumer Lending,RedCarpet.CASH,"
Data driven  Lending for  purchase finance and installments. ML based Credit Scoring
","$120,000",51-200,Seed,redcarpetup.com,artificial intelligence,Startup,Python
9,Feb 14,Startup,https://angel.co/voyadi,Los Angeles,Virtual Reality,Voyadi,"
Travel with Passion and Purpose 
",-,11-50,Seed,voyadi.com,artificial intelligence,Startup,Python
10,Jul 14,Startup,https://angel.co/nugit,Singapore,Big Data Analytics,Nugit,"
From Data to Decisions
","$5,200,000",11-50,Seed,nugit.co,artificial intelligence,Startup,Python
11,Jan 15,Startup,https://angel.co/careskore-1,San Francisco,Predictive Analytics,CareSkore,"
Personalized Population Health Management
","$4,300,000",11-50,Seed,careskore.com,artificial intelligence,Startup,Python
12,Nov 16,Startup,https://angel.co/monkeylearn,San Francisco,Developer APIs,MonkeyLearn,"
Text Analysis with Machine Learning
","$1,260,000",11-50,Seed,monkeylearn.com,artificial intelligence,Startup,Python
13,Jun 15,Startup,https://angel.co/nextdeavor,Santa Monica,Temporary Staffing,NextDeavor,"
Transforming, Automating, and Optimizing the Talent Industry with Analytics
","$100,000",1-10,Seed,nextdeavor.com,artificial intelligence,Startup,Python
14,Aug 15,Startup,https://angel.co/legal-robot,San Francisco,Legal,Legal Robot,"
Use AI to understand contracts
","$105,000",1-10,Seed,legalrobot.com,artificial intelligence,Startup,Python
15,Sep 15,Startup,https://angel.co/omindme,Caen,Neuroscience,Open Mind Innovation SAS,"
Meet the latest neurosciences innovations to relief stress and enhance your cognition
","850,000",11-50,Seed,omind.me,artificial intelligence,Startup,Python
16,Sep 15,Startup,https://angel.co/hotify,Santa Clara,Predictive Analytics,Hotify AI,"
Cognitive Intelligence Platform, accelerating enablement of Enterprise AI Solutions
","$150,000",11-50,Seed,hotify.ai,artificial intelligence,Startup,Python
17,Apr 16,Startup,https://angel.co/doctrine-,Paris,Big Data Analytics,Doctrine,"
Legal Analytics, Research, and Marketplace
","$2,300,000",11-50,Seed,doctrine.com,artificial intelligence,Startup,Python
18,May 16,Startup,https://angel.co/firedrop-ai,London,Digital,Firedrop,"
Instant creative assets, designed by A.I.
","£340,000",1-10,Seed,firedrop.ai,artificial intelligence,Startup,Python
